Nro,Categoria,Producto,ID,Portada,Imagen1,Imagen2,Imagen3,Imagen4,Imagen5,Imagen6
1,audifonos,AirPods 3,AUD006,producto-AUD006-portada,producto-AUD006-1,producto-AUD006-2,producto-AUD006-3,producto-AUD006-4,producto-AUD006-5,producto-AUD006-6
2,audifonos,AirPods 4,AUD003,producto-AUD003-portada,producto-AUD003-1,producto-AUD003-2,producto-AUD003-3,producto-AUD003-4,producto-AUD003-5,producto-AUD003-6
3,audifonos,AirPods 4 con ANC,AUD002,producto-AUD002-portada,producto-AUD002-1,producto-AUD002-2,producto-AUD002-3,producto-AUD002-4,producto-AUD002-5,producto-AUD002-6
4,audifonos,AirPods Max,AUD005,producto-AUD005-portada,producto-AUD005-1,producto-AUD005-2,producto-AUD005-3,producto-AUD005-4,producto-AUD005-5,producto-AUD005-6
5,audifonos,AirPods Pro 2,AUD004,producto-AUD004-portada,producto-AUD004-1,producto-AUD004-2,producto-AUD004-3,producto-AUD004-4,producto-AUD004-5,producto-AUD004-6
6,audifonos,AirPods Pro 3,AUD001,producto-AUD001-portada,producto-AUD001-1,producto-AUD001-2,producto-AUD001-3,producto-AUD001-4,producto-AUD001-5,producto-AUD001-6
7,audifonos,Choice Earbuds X,AUD043,producto-AUD043-portada,producto-AUD043-1,producto-AUD043-2,producto-AUD043-3,producto-AUD043-4,producto-AUD043-5,producto-AUD043-6
8,audifonos,Choice Earbuds X3,AUD042,producto-AUD042-portada,producto-AUD042-1,producto-AUD042-2,producto-AUD042-3,producto-AUD042-4,producto-AUD042-5,producto-AUD042-6
9,audifonos,Choice Earbuds X3 Lite,AUD041,producto-AUD041-portada,producto-AUD041-1,producto-AUD041-2,producto-AUD041-3,producto-AUD041-4,producto-AUD041-5,producto-AUD041-6
10,audifonos,Choice Earbuds X7,AUD037,producto-AUD037-portada,producto-AUD037-1,producto-AUD037-2,producto-AUD037-3,producto-AUD037-4,producto-AUD037-5,producto-AUD037-6
11,audifonos,Choice Earbuds X7 Lite,AUD038,producto-AUD038-portada,producto-AUD038-1,producto-AUD038-2,producto-AUD038-3,producto-AUD038-4,producto-AUD038-5,producto-AUD038-6
12,audifonos,Choice Earbuds X7e,AUD039,producto-AUD039-portada,producto-AUD039-1,producto-AUD039-2,producto-AUD039-3,producto-AUD039-4,producto-AUD039-5,producto-AUD039-6
13,audifonos,Choice Earbuds X7i,AUD040,producto-AUD040-portada,producto-AUD040-1,producto-AUD040-2,producto-AUD040-3,producto-AUD040-4,producto-AUD040-5,producto-AUD040-6
14,audifonos,Earbuds 3 Pro,AUD036,producto-AUD036-portada,producto-AUD036-1,producto-AUD036-2,producto-AUD036-3,producto-AUD036-4,producto-AUD036-5,producto-AUD036-6
15,audifonos,Earbuds Open,AUD044,producto-AUD044-portada,producto-AUD044-1,producto-AUD044-2,producto-AUD044-3,producto-AUD044-4,producto-AUD044-5,producto-AUD044-6
16,audifonos,Earbuds X5,AUD035,producto-AUD035-portada,producto-AUD035-1,producto-AUD035-2,producto-AUD035-3,producto-AUD035-4,producto-AUD035-5,producto-AUD035-6
17,audifonos,Earbuds X6,AUD034,producto-AUD034-portada,producto-AUD034-1,producto-AUD034-2,producto-AUD034-3,producto-AUD034-4,producto-AUD034-5,producto-AUD034-6
18,audifonos,FreeBuds 5,AUD032,producto-AUD032-portada,producto-AUD032-1,producto-AUD032-2,producto-AUD032-3,producto-AUD032-4,producto-AUD032-5,producto-AUD032-6
19,audifonos,FreeBuds 5i,AUD031,producto-AUD031-portada,producto-AUD031-1,producto-AUD031-2,producto-AUD031-3,producto-AUD031-4,producto-AUD031-5,producto-AUD031-6
20,audifonos,FreeBuds Pro,AUD029,producto-AUD029-portada,producto-AUD029-1,producto-AUD029-2,producto-AUD029-3,producto-AUD029-4,producto-AUD029-5,producto-AUD029-6
21,audifonos,FreeBuds Pro 2,AUD028,producto-AUD028-portada,producto-AUD028-1,producto-AUD028-2,producto-AUD028-3,producto-AUD028-4,producto-AUD028-5,producto-AUD028-6
22,audifonos,FreeBuds Pro 3,AUD027,producto-AUD027-portada,producto-AUD027-1,producto-AUD027-2,producto-AUD027-3,producto-AUD027-4,producto-AUD027-5,producto-AUD027-6
23,audifonos,FreeBuds Pro 4,AUD026,producto-AUD026-portada,producto-AUD026-1,producto-AUD026-2,producto-AUD026-3,producto-AUD026-4,producto-AUD026-5,producto-AUD026-6
24,audifonos,FreeBuds SE 3,AUD030,producto-AUD030-portada,producto-AUD030-1,producto-AUD030-2,producto-AUD030-3,producto-AUD030-4,producto-AUD030-5,producto-AUD030-6
25,audifonos,FreeClip,AUD033,producto-AUD033-portada,producto-AUD033-1,producto-AUD033-2,producto-AUD033-3,producto-AUD033-4,producto-AUD033-5,producto-AUD033-6
26,audifonos,Galaxy Buds 2,AUD012,producto-AUD012-portada,producto-AUD012-1,producto-AUD012-2,producto-AUD012-3,producto-AUD012-4,producto-AUD012-5,producto-AUD012-6
27,audifonos,Galaxy Buds 2 Pro,AUD011,producto-AUD011-portada,producto-AUD011-1,producto-AUD011-2,producto-AUD011-3,producto-AUD011-4,producto-AUD011-5,producto-AUD011-6
28,audifonos,Galaxy Buds 3,AUD009,producto-AUD009-portada,producto-AUD009-1,producto-AUD009-2,producto-AUD009-3,producto-AUD009-4,producto-AUD009-5,producto-AUD009-6
29,audifonos,Galaxy Buds 3 Pro,AUD008,producto-AUD008-portada,producto-AUD008-1,producto-AUD008-2,producto-AUD008-3,producto-AUD008-4,producto-AUD008-5,producto-AUD008-6
30,audifonos,Galaxy Buds 4 Pro,AUD007,producto-AUD007-portada,producto-AUD007-1,producto-AUD007-2,producto-AUD007-3,producto-AUD007-4,producto-AUD007-5,producto-AUD007-6
31,audifonos,Galaxy Buds Core,AUD013,producto-AUD013-portada,producto-AUD013-1,producto-AUD013-2,producto-AUD013-3,producto-AUD013-4,producto-AUD013-5,producto-AUD013-6
32,audifonos,Galaxy Buds FE,AUD010,producto-AUD010-portada,producto-AUD010-1,producto-AUD010-2,producto-AUD010-3,producto-AUD010-4,producto-AUD010-5,producto-AUD010-6
33,audifonos,Redmi Buds 4,AUD023,producto-AUD023-portada,producto-AUD023-1,producto-AUD023-2,producto-AUD023-3,producto-AUD023-4,producto-AUD023-5,producto-AUD023-6
34,audifonos,Redmi Buds 4 Active,AUD024,producto-AUD024-portada,producto-AUD024-1,producto-AUD024-2,producto-AUD024-3,producto-AUD024-4,producto-AUD024-5,producto-AUD024-6
35,audifonos,Redmi Buds 4 Pro,AUD022,producto-AUD022-portada,producto-AUD022-1,producto-AUD022-2,producto-AUD022-3,producto-AUD022-4,producto-AUD022-5,producto-AUD022-6
36,audifonos,Redmi Buds 5,AUD021,producto-AUD021-portada,producto-AUD021-1,producto-AUD021-2,producto-AUD021-3,producto-AUD021-4,producto-AUD021-5,producto-AUD021-6
37,audifonos,Redmi Buds 5 Pro,AUD020,producto-AUD020-portada,producto-AUD020-1,producto-AUD020-2,producto-AUD020-3,producto-AUD020-4,producto-AUD020-5,producto-AUD020-6
38,audifonos,Redmi Buds 6,AUD015,producto-AUD015-portada,producto-AUD015-1,producto-AUD015-2,producto-AUD015-3,producto-AUD015-4,producto-AUD015-5,producto-AUD015-6
39,audifonos,Redmi Buds 6 Active,AUD017,producto-AUD017-portada,producto-AUD017-1,producto-AUD017-2,producto-AUD017-3,producto-AUD017-4,producto-AUD017-5,producto-AUD017-6
